Started Log File:     logs/MMTK 2021-06-01 12-43-59-COM5.txt
Data Source:     COM5

…LBLBLBLBáNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
1	606.80	7.59	-10.47	154	0	0	0	1	12.29	1	1	1	1	1	
1	589.62	6.80	-10.46	138	0	0	0	1	12.29	1	1	1	1	1	
1	558.04	5.66	-10.46	114	0	0	0	1	12.29	1	1	1	1	1	
1	531.16	4.94	-10.46	100	0	0	0	1	12.29	1	1	1	1	1	
1	478.32	3.94	-10.46	80	0	0	0	1	12.29	1	1	1	1	1	
1	448.56	3.33	-10.44	68	0	0	0	1	12.25	1	1	1	1	1	
1	383.44	2.50	-10.45	52	0	0	0	1	12.29	1	1	1	1	1	
1	347.22	2.02	-10.46	42	0	0	0	1	12.29	1	1	1	1	1	
1	300.00	1.59	-10.46	34	0	0	0	1	12.25	1	1	1	1	1	
1	220.33	1.07	-10.47	22	0	0	0	1	12.27	1	1	1	1	1	
1	178.57	0.81	-10.47	18	0	0	0	1	12.27	1	1	1	1	1	
1	150.00	0.50	-10.47	12	0	0	0	1	12.29	1	1	1	1	1	
1	150.00	0.30	-10.47	8	0	0	0	1	12.29	1	1	1	1	1	
1	400.64	0.06	-10.46	0	0	0	0	1	12.29	1	1	1	1	1	
1	400.64	0.00	-10.47	0	0	0	0	1	12.25	1	1	1	1	1	
1	400.64	0.00	-10.47	0	0	0	0	1	12.29	1	1	1	1	1	
1	400.64	0.00	-10.47	0	0	0	0	1	12.29	1	1	1	1	1	
1	400.64	0.00	-10.47	0	0	0	0	1	12.27	1	1	1	1	1	
1	150.00	0.00	-10.47	0	0	0	0	0	12.27	1	1	1	1	1	
1	150.00	0.07	-10.45	1	0	0	0	0	12.30	1	1	1	1	1	
1	151.82	0.27	-10.47	6	0	0	0	0	12.27	1	1	1	1	1	
1	204.92	0.47	-10.47	8	0	0	0	0	12.29	1	1	1	1	1	
1	275.33	0.83	-10.46	16	0	0	0	0	12.29	1	1	1	1	1	
1	319.42	1.23	-10.47	24	0	0	0	0	12.29	1	1	1	1	1	
1	387.40	1.95	-10.48	38	0	0	0	0	12.29	1	1	1	1	1	
1	427.11	2.49	-10.47	50	0	0	0	0	12.29	1	1	1	1	1	
1	482.01	3.41	-10.48	68	0	0	0	0	12.29	1	1	1	1	1	
1	516.53	4.07	-10.48	82	0	0	0	0	12.29	1	1	1	1	1	
1	545.06	4.78	-10.45	96	0	0	0	0	12.30	1	1	1	1	1	
1	578.70	5.90	-10.45	118	0	0	0	0	12.27	1	1	1	1	1	
1	599.04	6.67	-10.46	134	0	0	0	0	12.27	1	1	1	1	1	
1	618.81	7.88	-10.46	158	0	0	0	0	12.27	1	1	1	1	1	
1	625.00	8.70	-10.45	174	0	0	0	0	12.29	1	1	1	1	1	
1	629.19	9.95	-10.46	198	0	0	0	0	12.29	1	1	1	1	1	
1	625.00	10.79	-10.47	216	0	0	0	0	12.29	1	1	1	1	1	
1	612.75	12.01	-10.46	240	0	0	0	0	12.27	1	1	1	1	1	
1	599.04	12.82	-10.46	256	0	0	0	0	12.27	1	1	1	1	1	
1	569.91	13.97	-10.47	280	0	0	0	0	12.29	1	1	1	1	1	
1	545.06	14.71	-10.46	294	0	0	0	0	12.29	1	1	1	1	1	
1	515.11	15.41	-10.47	308	0	0	0	0	12.29	1	1	1	1	1	
1	467.58	16.38	-10.48	328	0	0	0	0	12.29	1	1	1	1	1	
1	429.06	16.98	-10.48	340	0	0	0	0	12.29	1	1	1	1	1	
1	369.09	17.77	-10.48	356	0	0	0	0	12.29	1	1	1	1	1	
1	323.28	18.22	-10.46	364	0	0	0	0	12.29	1	1	1	1	1	
1	255.80	18.79	-10.45	376	0	0	0	0	12.29	1	1	1	1	1	
1	204.25	19.09	-10.46	382	0	0	0	0	12.29	1	1	1	1	1	
1	150.00	19.42	-10.47	388	0	0	0	0	12.29	1	1	1	1	1	
1	150.00	19.63	-10.48	392	0	0	0	0	12.29	1	1	1	1	1	
1	400.64	19.99	-10.48	400	0	0	0	0	12.27	1	1	1	1	1	
1	400.64	20.00	-10.48	400	0	0	0	0	12.25	1	1	1	1	1	
1	400.64	20.00	-10.47	400	0	0	0	0	12.25	1	1	1	1	1	
1	400.64	20.00	-10.45	400	0	0	0	0	12.29	1	1	1	1	1	
1	400.64	20.00	-10.46	400	0	0	0	0	12.29	1	1	1	1	1	
1	400.64	20.00	-10.47	400	0	0	0	0	12.29	1	1	1	1	1	
1	150.00	19.97	-10.48	398	0	0	0	1	12.29	1	1	1	1	1	
1	150.00	19.83	-10.49	396	0	0	0	1	12.27	1	1	1	1	1	
1	174.09	19.62	-10.48	392	0	0	0	1	12.27	1	1	1	1	1	
1	252.70	19.23	-10.46	384	0	0	0	1	12.27	1	1	1	1	1	
1	302.42	18.91	-10.47	378	0	0	0	1	12.27	1	1	1	1	1	
1	366.21	18.42	-10.48	368	0	0	0	1	12.27	1	1	1	1	1	
1	410.28	17.89	-10.48	356	0	0	0	1	12.30	1	1	1	1	1	
1	450.72	17.32	-10.47	346	0	0	0	1	12.29	1	1	1	1	1	
1	500.00	16.38	-10.47	326	0	0	0	1	12.29	1	1	1	1	1	
1	532.67	15.70	-10.48	312	0	0	0	1	12.29	1	1	1	1	1	
1	568.18	14.60	-10.48	290	0	0	0	1	12.27	1	1	1	1	1	
1	589.62	13.83	-10.48	276	0	0	0	1	12.30	1	1	1	1	1	
1	612.75	12.63	-10.48	252	0	0	0	1	12.29	1	1	1	1	1	
1	622.92	11.80	-10.47	234	0	0	0	1	12.27	1	1	1	1	1	
1	629.19	10.56	-10.49	210	0	0	0	1	12.27	1	1	1	1	1	
1	627.09	9.73	-10.49	194	0	0	0	1	12.29	1	1	1	1	1	
1	618.81	8.49	-10.47	168	0	0	0	1	12.29	1	1	1	1	1	
1	606.80	7.68	-10.47	152	0	0	0	1	12.27	1	1	1	1	1	
1	587.77	6.89	-10.48	136	0	0	0	1	12.29	1	1	1	1	1	
1	556.38	5.74	-10.47	114	0	0	0	1	12.27	1	1	1	1	1	
1	529.66	5.02	-10.46	100	0	0	0	1	12.29	1	1	1	1	1	
1	484.50	4.01	-10.47	80	0	0	0	1	12.29	1	1	1	1	1	
1	447.49	3.40	-10.49	66	0	0	0	1	12.27	1	1	1	1	1	
1	389.81	2.57	-10.50	50	0	0	0	1	12.30	1	1	1	1	1	
1	345.30	2.08	-10.47	40	0	0	0	1	12.27	1	1	1	1	1	
1	279.02	1.46	-10.46	28	0	0	0	1	12.29	1	1	1	1	1	
1	228.38	1.13	-10.46	22	0	0	0	1	12.27	1	1	1	1	1	
1	155.09	0.75	-10.46	14	0	0	0	1	12.29	1	1	1	1	1	
1	150.00	0.55	-10.48	10	0	0	0	1	12.29	1	1	1	1	1	
1	150.00	0.35	-10.49	6	0	0	0	1	12.29	1	1	1	1	1	
1	400.64	0.00	-10.47	-2	0	0	0	1	12.25	1	1	1	1	1	
1	400.64	0.00	-10.46	-2	0	0	0	1	12.29	1	1	1	1	1	
1	400.64	0.00	-10.46	-2	0	0	0	1	12.29	1	1	1	1	1	
1	400.64	0.00	-10.48	-2	0	0	0	1	12.29	1	1	1	1	1	
1	400.64	0.00	-10.49	-2	0	0	0	1	12.29	1	1	1	1	1	
1	150.00	0.00	-10.47	-2	0	0	0	0	12.29	1	1	1	1	1	
1	150.00	0.11	-10.48	0	0	0	0	0	12.29	1	1	1	1	1	
1	150.00	0.27	-10.50	2	0	0	0	0	12.27	1	1	1	1	1	
1	230.34	0.44	-10.49	6	0	0	0	0	12.29	1	1	1	1	1	
1	270.56	0.73	-10.48	12	0	0	0	0	12.29	1	1	1	1	1	
1	318.88	0.96	-10.49	16	0	0	0	0	12.27	1	1	1	1	1	
1	382.65	1.67	-10.49	32	0	0	0	0	12.30	1	1	1	1	1	
1	425.17	2.22	-10.48	42	0	0	0	0	12.27	1	1	1	1	1	
1	478.32	3.13	-10.48	60	0	0	0	0	12.29	1	1	1	1	1	
1	512.30	3.79	-10.47	74	0	0	0	0	12.29	1	1	1	1	1	
1	553.10	4.86	-10.47	94	0	0	0	0	12.27	1	1	1	1	1	
1	576.92	5.62	-10.47	110	0	0	0	0	12.27	1	1	1	1	1	
1	606.80	6.61	-10.46	130	0	0	0	0	12.27	1	1	1	1	1	
1	616.78	7.24	-10.47	144	0	0	0	0	12.27	1	1	1	1	1	
1	629.19	8.48	-10.47	168	0	0	0	0	12.27	1	1	1	1	1	
1	629.19	9.31	-10.48	184	0	0	0	0	12.29	1	1	1	1	1	
1	627.09	10.14	-10.48	202	0	0	0	0	12.30	1	1	1	1	1	
1	612.75	11.39	-10.47	226	0	0	0	0	12.29	1	1	1	1	1	
1	600.96	12.19	-10.48	242	0	0	0	0	12.29	1	1	1	1	1	
1	568.18	13.35	-10.49	266	0	0	0	0	12.29	1	1	1	1	1	
1	548.25	14.08	-10.49	280	0	0	0	0	12.29	1	1	1	1	1	
1	498.67	15.12	-10.50	300	0	0	0	0	12.27	1	1	1	1	1	
1	471.11	15.76	-10.50	314	0	0	0	0	12.29	1	1	1	1	1	
1	408.50	16.64	-10.49	332	0	0	0	0	12.29	1	1	1	1	1	
1	365.50	17.16	-10.48	342	0	0	0	0	12.30	1	1	1	1	1	
1	300.48	17.82	-10.48	354	0	0	0	0	12.29	1	1	1	1	1	
1	251.00	18.19	-10.46	362	0	0	0	0	12.29	1	1	1	1	1	
1	210.44	18.49	-10.47	368	0	0	0	0	12.29	1	1	1	1	1	
1	150.00	18.83	-10.47	375	0	0	0	0	12.29	1	1	1	1	1	
1	150.00	19.03	-10.46	378	0	0	0	0	12.29	1	1	1	1	1	
1	400.64	19.26	-10.46	384	0	0	0	0	12.29	1	1	1	1	1	
1	400.64	19.70	-10.48	394	0	0	0	0	12.29	1	1	1	1	1	
1	400.64	20.00	-10.49	400	0	0	0	0	12.29	1	1	1	1	1	
1	400.64	20.00	-10.47	400	0	0	0	0	12.29	1	1	1	1	1	
1	400.64	20.00	-10.47	400	0	0	0	0	12.30	1	1	1	1	1	
1	400.64	20.00	-10.47	400	0	0	0	0	12.29	1	1	1	1	1	
1	150.00	19.93	-10.47	398	0	0	0	1	12.29	1	1	1	1	1	
1	150.00	19.84	-10.47	396	0	0	0	1	12.29	1	1	1	1	1	
1	169.07	19.63	-10.48	392	0	0	0	1	12.29	1	1	1	1	1	
1	251.68	19.37	-10.47	388	0	0	0	1	12.29	1	1	1	1	1	
1	291.15	19.00	-10.46	380	0	0	0	1	12.29	1	1	1	1	1	
1	366.21	18.34	-10.47	366	0	0	0	1	12.27	1	1	1	1	1	
1	400.64	17.83	-10.46	356	0	0	0	1	12.27	1	1	1	1	1	
1	464.11	16.95	-10.46	338	0	0	0	1	12.29	1	1	1	1	1	
1	500.00	16.32	-10.47	326	0	0	0	1	12.29	1	1	1	1	1	
1	541.91	15.28	-10.47	306	0	0	0	1	12.29	1	1	1	1	1	
1	568.18	14.55	-10.47	290	0	0	0	1	12.29	1	1	1	1	1	
1	597.13	13.40	-10.46	268	0	0	0	1	12.29	1	1	1	1	1	
1	612.75	12.69	-10.46	254	0	0	0	1	12.29	1	1	1	1	1	
1	622.92	11.87	-10.45	236	0	0	0	1	12.27	1	1	1	1	1	
1	629.19	10.95	-10.46	218	0	0	0	1	12.29	1	1	1	1	1	
1	627.09	10.12	-10.46	202	0	0	0	1	12.27	1	1	1	1	1	
1	618.81	8.88	-10.45	178	0	0	0	1	12.29	1	1	1	1	1	
1	606.80	8.07	-10.46	161	0	0	0	1	12.27	1	1	1	1	1	
1	580.50	6.89	-10.46	138	0	0	0	1	12.29	1	1	1	1	1	
1	558.04	6.14	-10.47	122	0	0	0	1	12.29	1	1	1	1	1	
1	517.96	5.06	-10.46	100	0	0	0	1	12.29	1	1	1	1	1	
1	484.50	4.40	-10.46	88	0	0	0	1	12.27	1	1	1	1	1	
1	433.03	3.49	-10.47	70	0	0	0	1	12.30	1	1	1	1	1	
1	390.63	2.94	-10.48	58	0	0	0	1	12.29	1	1	1	1	1	
1	346.58	2.45	-10.47	48	0	0	0	1	12.29	1	1	1	1	1	
1	279.43	1.83	-10.46	36	0	0	0	1	12.29	1	1	1	1	1	
1	228.94	1.49	-10.47	30	0	0	0	1	12.29	1	1	1	1	1	
1	156.38	1.11	-10.47	22	0	0	0	1	12.29	1	1	1	1	1	
1	150.00	0.91	-10.47	18	0	0	0	1	12.29	1	1	1	1	1	
1	150.00	0.61	-10.45	12	0	0	0	1	12.29	1	1	1	1	1	
1	400.64	0.45	-10.47	8	0	0	0	1	12.29	1	1	1	1	1	
1	400.64	0.00	-10.48	-2	0	0	0	1	12.29	1	1	1	1	1	
1	400.64	0.00	-10.46	-2	0	0	0	1	12.27	1	1	1	1	1	
1	400.64	0.00	-10.46	-2	0	0	0	1	12.29	1	1	1	1	1	
1	400.64	0.00	-10.49	-2	0	0	0	1	12.29	1	1	1	1	1	
1	150.00	0.00	-10.49	-2	0	0	0	1	12.29	1	1	1	1	1	
1	150.00	0.12	-10.50	0	0	0	0	0	12.29	1	1	1	1	1	
1	150.00	0.26	-10.49	2	0	0	0	0	12.25	1	1	1	1	1	
1	225.90	0.56	-10.48	9	0	0	0	0	12.27	1	1	1	1	1	
1	271.35	0.90	-10.48	16	0	0	0	0	12.27	1	1	1	1	1	
1	342.78	1.50	-10.46	28	0	0	0	0	12.29	1	1	1	1	1	
1	387.40	1.93	-10.46	36	0	0	0	0	12.27	1	1	1	1	1	
1	444.31	2.74	-10.46	52	0	0	0	0	12.27	1	1	1	1	1	
1	482.01	3.34	-10.48	64	0	0	0	0	12.25	1	1	1	1	1	
1	528.17	4.33	-10.47	84	0	0	0	0	12.29	1	1	1	1	1	
1	554.73	5.04	-10.46	98	0	0	0	0	12.27	1	1	1	1	1	
1	576.92	5.80	-10.47	114	0	0	0	0	12.27	1	1	1	1	1	
1	604.84	6.96	-10.47	138	0	0	0	0	12.25	1	1	1	1	1	
1	618.81	7.78	-10.49	154	0	0	0	0	12.29	1	1	1	1	1	
1	627.09	9.01	-10.48	178	0	0	0	0	12.27	1	1	1	1	1	
1	629.19	9.84	-10.48	194	0	0	0	0	12.29	1	1	1	1	1	
1	622.92	11.09	-10.47	220	0	0	0	0	12.29	1	1	1	1	1	
1	614.75	11.91	-10.47	236	0	0	0	0	12.27	1	1	1	1	1	
1	591.48	13.12	-10.46	260	0	0	0	0	12.27	1	1	1	1	1	
1	571.65	13.89	-10.48	276	0	0	0	0	12.27	1	1	1	1	1	
1	532.67	14.98	-10.47	298	0	0	0	0	12.27	1	1	1	1	1	
1	501.34	15.67	-10.48	312	0	0	0	0	12.29	1	1	1	1	1	
1	467.58	16.31	-10.46	324	0	0	0	0	12.27	1	1	1	1	1	
1	412.09	17.19	-10.45	342	0	0	0	0	12.29	1	1	1	1	1	
1	371.29	17.71	-10.46	352	0	0	0	0	12.29	1	1	1	1	1	
1	303.40	18.38	-10.45	366	0	0	0	0	12.29	1	1	1	1	1	
1	255.80	18.76	-10.47	372	0	0	0	0	12.29	1	1	1	1	1	
1	181.69	19.19	-10.48	382	0	0	0	0	12.29	1	1	1	1	1	
1	150.00	19.40	-10.46	386	0	0	0	0	12.29	1	1	1	1	1	
1	150.00	19.70	-10.47	392	0	0	0	0	12.29	1	1	1	1	1	
1	150.00	19.90	-10.48	396	0	0	0	0	12.29	1	1	1	1	1	
1	400.64	20.00	-10.47	398	0	0	0	0	12.29	1	1	1	1	1	
1	400.64	20.00	-10.47	398	0	0	0	0	12.29	1	1	1	1	1	
1	400.64	20.00	-10.47	398	0	0	0	0	12.29	1	1	1	1	1	
1	400.64	20.00	-10.47	398	0	0	0	0	12.29	1	1	1	1	1	
1	400.64	20.00	-10.47	398	0	0	0	0	12.29	1	1	1	1	1	
1	150.00	19.94	-10.47	396	0	0	0	1	12.29	1	1	1	1	1	
1	150.00	19.84	-10.47	394	0	0	0	1	12.29	1	1	1	1	1	
1	196.75	19.54	-10.46	388	0	0	0	1	12.27	1	1	1	1	1	
1	248.02	19.29	-10.47	384	0	0	0	1	12.29	1	1	1	1	1	
1	316.72	18.75	-10.48	372	0	0	0	1	12.29	1	1	1	1	1	
1	361.97	18.32	-10.47	364	0	0	0	1	12.25	1	1	1	1	1	
1	422.30	17.55	-10.46	348	0	0	0	1	12.29	1	1	1	1	1	
1	461.82	16.99	-10.47	338	0	0	0	1	12.29	1	1	1	1	1	
1	497.35	16.36	-10.48	324	0	0	0	1	12.27	1	1	1	1	1	
1	540.35	15.35	-10.46	304	0	0	0	1	12.29	1	1	1	1	1	
1	566.47	14.62	-10.47	290	0	0	0	1	12.27	1	1	1	1	1	
1	595.24	13.47	-10.47	266	0	0	0	1	12.25	1	1	1	1	1	
1	610.75	12.67	-10.48	250	0	0	0	1	12.25	1	1	1	1	1	
1	625.00	11.44	-10.49	226	0	0	0	1	12.27	1	1	1	1	1	
1	629.19	10.60	-10.48	210	0	0	0	1	12.29	1	1	1	1	1	
1	627.09	9.35	-10.46	184	0	0	0	1	12.29	1	1	1	1	1	
1	618.81	8.52	-10.46	168	0	0	0	1	12.27	1	1	1	1	1	
1	606.80	7.71	-10.47	152	0	0	0	1	12.25	1	1	1	1	1	
1	582.30	6.53	-10.48	128	0	0	0	1	12.29	1	1	1	1	1	
1	559.70	5.77	-10.47	114	0	0	0	1	12.27	1	1	1	1	1	
1	519.39	4.70	-10.47	92	0	0	0	1	12.27	1	1	1	1	1	
1	485.75	4.03	-10.47	78	0	0	0	1	12.25	1	1	1	1	1	
1	433.03	3.11	-10.45	60	0	0	0	1	12.29	1	1	1	1	1	
1	391.44	2.56	-10.45	48	0	0	0	1	12.29	1	1	1	1	1	
1	327.80	1.85	-10.47	34	0	0	0	1	12.29	1	1	1	1	1	
1	280.69	1.44	-10.47	26	0	0	0	1	12.29	1	1	1	1	1	
1	210.44	0.95	-10.48	16	0	0	0	1	12.29	1	1	1	1	1	
1	157.56	0.71	-10.49	12	0	0	0	1	12.29	1	1	1	1	1	
1	150.00	0.51	-10.49	8	0	0	0	1	12.29	1	1	1	1	1	
1	150.00	0.21	-10.48	2	0	0	0	1	12.29	1	1	1	1	1	
1	400.64	0.06	-10.46	-2	0	0	0	1	12.29	1	1	1	1	1	
1	400.64	0.00	-10.47	-2	0	0	0	1	12.29	1	1	1	1	1	
1	400.64	0.00	-10.47	-2	0	0	0	1	12.29	1	1	1	1	1	
1	400.64	0.00	-10.47	-2	0	0	0	1	12.29	1	1	1	1	1	
1	400.64	0.00	-10.47	-2	0	0	0	1	12.29	1	1	1	1	1	
1	150.00	0.02	-10.47	-2	0	0	0	0	12.29	1	1	1	1	1	
1	150.00	0.10	-10.48	0	0	0	0	0	12.29	1	1	1	1	1	
1	171.55	0.31	-10.49	4	0	0	0	0	12.27	1	1	1	1	1	
1	224.01	0.55	-10.48	8	0	0	0	0	12.29	1	1	1	1	1	
1	264.08	0.88	-10.48	16	0	0	0	0	12.29	1	1	1	1	1	
1	341.53	1.30	-10.48	24	0	0	0	0	12.29	1	1	1	1	1	
1	377.26	1.78	-10.48	34	0	0	0	0	12.29	1	1	1	1	1	
1	444.31	2.60	-10.49	50	0	0	0	0	12.29	1	1	1	1	1	
1	473.48	3.21	-10.47	62	0	0	0	0	12.29	1	1	1	1	1	
1	526.69	4.21	-10.47	82	0	0	0	0	12.29	1	1	1	1	1	
1	549.85	4.93	-10.47	96	0	0	0	0	12.29	1	1	1	1	1	
1	587.77	6.06	-10.50	120	0	0	0	0	12.25	1	1	1	1	1	
1	604.84	6.86	-10.49	136	0	0	0	0	12.25	1	1	1	1	1	
1	620.86	8.08	-10.48	160	0	0	0	0	12.29	1	1	1	1	1	
1	627.09	8.90	-10.48	176	0	0	0	0	12.27	1	1	1	1	1	
1	629.19	9.74	-10.48	192	0	0	0	0	12.29	1	1	1	1	1	
1	622.92	10.98	-10.47	218	0	0	0	0	12.29	1	1	1	1	1	
1	614.75	11.80	-10.48	234	0	0	0	0	12.29	1	1	1	1	1	
1	591.48	13.01	-10.49	258	0	0	0	0	12.27	1	1	1	1	1	
1	571.65	13.79	-10.46	274	0	0	0	0	12.29	1	1	1	1	1	
1	534.19	14.88	-10.48	296	0	0	0	0	12.29	1	1	1	1	1	
1	502.68	15.57	-10.49	310	0	0	0	0	12.29	1	1	1	1	1	
1	452.90	16.52	-10.49	328	0	0	0	0	12.29	1	1	1	1	1	
1	413.91	17.10	-10.49	340	0	0	0	0	12.29	1	1	1	1	1	
1	352.44	17.86	-10.48	354	0	0	0	0	12.27	1	1	1	1	1	
1	305.37	18.30	-10.48	364	0	0	0	0	12.29	1	1	1	1	1	
1	256.85	18.68	-10.49	372	0	0	0	0	12.29	1	1	1	1	1	
1	184.91	19.12	-10.47	380	0	0	0	0	12.29	1	1	1	1	1	
1	150.00	19.34	-10.48	384	0	0	0	0	12.29	1	1	1	1	1	
1	150.00	19.64	-10.48	390	0	0	0	0	12.29	1	1	1	1	1	
1	150.00	19.84	-10.49	394	0	0	0	0	12.29	1	1	1	1	1	
1	400.64	20.00	-10.50	398	0	0	0	0	12.21	1	1	1	1	1	
1	400.64	20.00	-10.49	398	0	0	0	0	12.27	1	1	1	1	1	
1	400.64	20.00	-10.48	398	0	0	0	0	12.29	1	1	1	1	1	
1	400.64	20.00	-10.48	398	0	0	0	0	12.25	1	1	1	1	1	
1	150.00	20.00	-10.48	398	0	0	0	1	12.29	1	1	1	1	1	
1	150.00	19.95	-10.47	398	0	0	0	1	12.29	1	1	1	1	1	
1	150.00	19.85	-10.48	396	0	0	0	1	12.29	1	1	1	1	1	
1	193.10	19.56	-10.49	390	0	0	0	1	12.29	1	1	1	1	1	
1	244.14	19.40	-10.50	386	0	0	0	1	12.25	1	1	1	1	1	
1	313.02	19.03	-10.49	380	0	0	0	1	12.27	1	1	1	1	1	
1	359.20	18.58	-10.50	370	0	0	0	1	12.27	1	1	1	1	1	
1	419.46	17.80	-10.50	354	0	0	0	1	12.29	1	1	1	1	1	
1	459.56	17.22	-10.48	342	0	0	0	1	12.27	1	1	1	1	1	
1	508.13	16.24	-10.47	324	0	0	0	1	12.27	1	1	1	1	1	
1	538.79	15.55	-10.50	310	0	0	0	1	12.27	1	1	1	1	1	
1	575.15	14.44	-10.51	288	0	0	0	1	12.29	1	1	1	1	1	
1	593.35	13.66	-10.50	272	0	0	0	1	12.29	1	1	1	1	1	
1	610.75	12.86	-10.49	256	0	0	0	1	12.27	1	1	1	1	1	
1	625.00	11.63	-10.48	232	0	0	0	1	12.29	1	1	1	1	1	
1	629.19	10.80	-10.48	214	0	0	0	1	12.29	1	1	1	1	1	
1	627.09	9.55	-10.47	190	0	0	0	1	12.29	1	1	1	1	1	
